"","Round","State","Match-up"
"382",7,"New York",44
"383",7,"North Carolina",40
"384",7,"North Dakota",2
"385",7,"Ohio",45
"386",7,"Oklahoma",22
"387",7,"Oregon",23
"388",7,"Pennsylvania",47
"389",7,"Rhode Island",7
"390",7,"South Carolina",26
"391",7,"South Dakota",4
"392",7,"Tennessee",33
"393",7,"Texas",49
"394",7,"Utah",16
"395",7,"Vermont",1
"396",7,"Virginia",38
"397",7,"Washington",37
"398",7,"West Virginia",13
"399",7,"Wisconsin",30
"400",7,"Wyoming",0
"401",8,"Alabama",27
"402",8,"Alaska",3
"403",8,"Arizona",34
"404",8,"Arkansas",18
"405",8,"California",47
"406",8,"Colorado",28
"407",8,"Connecticut",21
"408",8,"Delaware",5
"409",8,"Florida",44
"410",8,"Georgia",41
"411",8,"Hawaii",10
"412",8,"Idaho",11
"413",8,"Illinois",49
"414",8,"Indiana",35
"415",8,"Iowa",20
"416",8,"Kansas",17
"417",8,"Kentucky",24
"418",8,"Louisiana",25
"419",8,"Maine",9
"420",8,"Maryland",31
"421",8,"Massachusetts",36
"422",8,"Michigan",42
"423",8,"Minnesota",29
"424",8,"Mississippi",19
"425",8,"Missouri",32
"426",8,"Montana",6
"427",8,"Nebraska",12
"428",8,"Nevada",15
"429",8,"New Hampshire",8
"430",8,"New Jersey",39
"431",8,"New Mexico",14
"432",8,"New York",45
"433",8,"North Carolina",40
"434",8,"North Dakota",2
"435",8,"Ohio",46
"436",8,"Oklahoma",22
"437",8,"Oregon",23
"438",8,"Pennsylvania",48
"439",8,"Rhode Island",7
"440",8,"South Carolina",26
"441",8,"South Dakota",4
"442",8,"Tennessee",33
"443",8,"Texas",43
"444",8,"Utah",16
"445",8,"Vermont",1
"446",8,"Virginia",38
"447",8,"Washington",37
"448",8,"West Virginia",13
"449",8,"Wisconsin",30
"450",8,"Wyoming",0
"451",9,"Alabama",27
"452",9,"Alaska",3
"453",9,"Arizona",34
"454",9,"Arkansas",18
"455",9,"California",48
"456",9,"Colorado",28
"457",9,"Connecticut",21
"458",9,"Delaware",5
"459",9,"Florida",45
"460",9,"Georgia",42
"461",9,"Hawaii",10
"462",9,"Idaho",11
"463",9,"Illinois",38
"464",9,"Indiana",35
"465",9,"Iowa",20
"466",9,"Kansas",17
"467",9,"Kentucky",24
"468",9,"Louisiana",25
"469",9,"Maine",9
"470",9,"Maryland",31
"471",9,"Massachusetts",36
"472",9,"Michigan",43
"473",9,"Minnesota",29
"474",9,"Mississippi",19
"475",9,"Missouri",32
"476",9,"Montana",6
"477",9,"Nebraska",12
"478",9,"Nevada",15
"479",9,"New Hampshire",8
"480",9,"New Jersey",40
"481",9,"New Mexico",14
"482",9,"New York",46
"483",9,"North Carolina",41
"484",9,"North Dakota",2
"485",9,"Ohio",47
"486",9,"Oklahoma",22
"487",9,"Oregon",23
"488",9,"Pennsylvania",49
"489",9,"Rhode Island",7
"490",9,"South Carolina",26
"491",9,"South Dakota",4
"492",9,"Tennessee",33
"493",9,"Texas",44
"494",9,"Utah",16
"495",9,"Vermont",1
"496",9,"Virginia",39
"497",9,"Washington",37
